what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1349849798680
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1349849798680
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1349849798681
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1349849798682
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1349849798682
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1349849798683
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1349849798684
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1349849798684
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1349849798684
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1349849798685
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1349849798685
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1349849798686
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1349849798686
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1349849798687
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1349849798688
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1349849798689
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1349849798690
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1349849798690
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1349849798692
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1349849798692
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1349849798694
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1349849798694
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1349849798694
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1349849798695
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1349849798697
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1349849798698
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1349849798699
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1349849798700
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1349849798701
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1349849798701
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1349849798703
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1349849798703
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349849798704
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349849798704
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1349849798705
started,bundle,org.eclipse.cdt.core.lrparser,5.1.0.201002161416,"org.eclipse.cdt.core.lrparser",1349849798705
started,bundle,org.eclipse.cdt.core.lrparser.xlc,5.1.0.201002161416,"org.eclipse.cdt.core.lrparser.xlc",1349849798706
started,bundle,org.eclipse.cdt.core.tests,5.1.2.201002161416,"org.eclipse.cdt.core.tests",1349849798706
started,bundle,org.eclipse.cdt.managedbuilder.core.tests,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.core.tests",1349849798707
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201002161416,"org.eclipse.cdt.ui.tests",1349849798708
os,sysinfo,,,"win32",1349849798711
arch,sysinfo,,,"x86",1349849798711
ws,sysinfo,,,"win32",1349849798711
locale,sysinfo,,,"et_EE",1349849798711
processors,sysinfo,,,"4",1349849798711
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349849798711
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1349849798711
java.specification.name,sysinfo,,,"Java Platform API Specification",1349849798711
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349849798711
java.specification.version,sysinfo,,,"1.6",1349849798711
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349849798711
java.version,sysinfo,,,"1.6.0_35",1349849798711
java.vm.info,sysinfo,,,"mixed mode, sharing",1349849798711
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349849798711
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349849798711
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349849798711
java.vm.specification.version,sysinfo,,,"1.0",1349849798711
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349849798711
java.vm.version,sysinfo,,,"20.10-b01",1349849798711
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349849799770
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1349849802075
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849821784
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349849822086
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849824775
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849825979
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849826662
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849828327
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849829463
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849830183
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849831300
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849841887
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1349849847957
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1349849848409
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849848709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849849678
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849851815
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349849874118
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1349849880048
